Airline,Departure,Arrival,Price,Duration,Flight_num
Pegasus,"03:40
تهران ( IKA )","11:55
کپنهاگ ( CPH )","102,728,917",9 ساعت و 45 دقیقه,513
Turkish Airlines,"03:25
تهران ( IKA )","10:20
کپنهاگ ( CPH )","104,445,080",8 ساعت و 25 دقیقه,881
چند ایرلاین,"04:45
تهران ( IKA )","11:05
کپنهاگ ( CPH )","104,701,592",31 ساعت و 50 دقیقه,491
چند ایرلاین,"22:35
تهران ( IKA )","13:20
کپنهاگ ( CPH )","105,981,592",16 ساعت و 15 دقیقه,499
چند ایرلاین,"15:10
تهران ( IKA )","13:20
کپنهاگ ( CPH )","105,981,592",23 ساعت و 40 دقیقه,483
چند ایرلاین,"04:45
تهران ( IKA )","13:20
کپنهاگ ( CPH )","105,981,592",34 ساعت و 5 دقیقه,491
چند ایرلاین,"04:50
تهران ( IKA )","14:10
کپنهاگ ( CPH )","116,344,080",34 ساعت و 50 دقیقه,7881
چند ایرلاین,"04:50
تهران ( IKA )","14:10
کپنهاگ ( CPH )","116,344,080",34 ساعت و 50 دقیقه,7881
Pegasus,"15:00
تهران ( IKA )","11:55
کپنهاگ ( CPH )","118,150,267",22 ساعت و 25 دقیقه,1737
چند ایرلاین,"22:35
تهران ( IKA )","22:05
کپنهاگ ( CPH )","121,266,998",25 ساعت,499
Turkish Airlines,"02:20
تهران ( IKA )","10:20
کپنهاگ ( CPH )","129,099,800",9 ساعت و 30 دقیقه,875
Turkish Airlines,"07:55
تهران ( IKA )","17:25
کپنهاگ ( CPH )","129,099,800",11 ساعت,873
Turkish Airlines,"07:35
تهران ( IKA )","17:25
کپنهاگ ( CPH )","129,099,800",11 ساعت و 20 دقیقه,879
Turkish Airlines,"03:25
تهران ( IKA )","17:25
کپنهاگ ( CPH )","129,099,800",15 ساعت و 30 دقیقه,881
Lufthansa,"01:45
تهران ( IKA )","22:20
کپنهاگ ( CPH )","138,908,855",22 ساعت و 5 دقیقه,601
Pegasus,"03:40
تهران ( IKA )","14:40
کپنهاگ ( CPH )","139,691,458",12 ساعت و 30 دقیقه,513
چند ایرلاین,"04:50
تهران ( IKA )","17:25
کپنهاگ ( CPH )","140,998,800",14 ساعت و 5 دقیقه,7881
چند ایرلاین,"01:45
تهران ( IKA )","22:20
کپنهاگ ( CPH )","142,384,855",22 ساعت و 5 دقیقه,601
چند ایرلاین,"03:10
تهران ( IKA )","17:25
کپنهاگ ( CPH )","147,406,440",15 ساعت و 45 دقیقه,7689
چند ایرلاین,"22:35
تهران ( IKA )","22:55
کپنهاگ ( CPH )","151,083,972",25 ساعت و 50 دقیقه,499
چند ایرلاین,"22:35
تهران ( IKA )","14:50
کپنهاگ ( CPH )","152,363,972",17 ساعت و 45 دقیقه,499
چند ایرلاین,"15:10
تهران ( IKA )","14:50
کپنهاگ ( CPH )","152,363,972",25 ساعت و 10 دقیقه,483
Qatar Airways,"04:45
تهران ( IKA )","14:10
کپنهاگ ( CPH )","154,133,064",10 ساعت و 55 دقیقه,491
Turkish Airlines,"02:20
تهران ( IKA )","17:25
کپنهاگ ( CPH )","160,479,320",16 ساعت و 35 دقیقه,875
Qatar Airways,"22:35
تهران ( IKA )","14:10
کپنهاگ ( CPH )","202,281,626",17 ساعت و 5 دقیقه,499
Lufthansa,"01:45
تهران ( IKA )","10:35
کپنهاگ ( CPH )","234,691,425",10 ساعت و 20 دقیقه,601
Turkish Airlines,"07:55
تهران ( IKA )","14:10
کپنهاگ ( CPH )","245,650,520",7 ساعت و 45 دقیقه,873
Turkish Airlines,"07:35
تهران ( IKA )","14:10
کپنهاگ ( CPH )","245,650,520",8 ساعت و 5 دقیقه,879
Turkish Airlines,"03:25
تهران ( IKA )","14:10
کپنهاگ ( CPH )","245,650,520",12 ساعت و 15 دقیقه,881
Turkish Airlines,"02:20
تهران ( IKA )","14:10
کپنهاگ ( CPH )","245,650,520",13 ساعت و 20 دقیقه,875
Emirates,"04:20
تهران ( IKA )","19:55
کپنهاگ ( CPH )","278,554,750",17 ساعت و 5 دقیقه,978
چند ایرلاین,"00:05
تهران ( IKA )","19:55
کپنهاگ ( CPH )","279,094,750",21 ساعت و 20 دقیقه,2491
چند ایرلاین,"15:00
تهران ( IKA )","13:15
کپنهاگ ( CPH )","279,094,750",23 ساعت و 45 دقیقه,2303
Lufthansa,"01:45
تهران ( IKA )","14:15
کپنهاگ ( CPH )","299,082,845",14 ساعت,601
چند ایرلاین,"04:50
تهران ( IKA )","14:10
کپنهاگ ( CPH )","311,342,160",10 ساعت و 50 دقیقه,7881
چند ایرلاین,"07:55
تهران ( IKA )","20:10
کپنهاگ ( CPH )","439,235,761",13 ساعت و 45 دقیقه,873
چند ایرلاین,"07:35
تهران ( IKA )","20:10
کپنهاگ ( CPH )","439,235,761",14 ساعت و 5 دقیقه,879
چند ایرلاین,"03:25
تهران ( IKA )","16:25
کپنهاگ ( CPH )","439,235,761",14 ساعت و 30 دقیقه,881
چند ایرلاین,"01:45
تهران ( IKA )","14:50
کپنهاگ ( CPH )","558,191,120",14 ساعت و 35 دقیقه,601
چند ایرلاین,"01:45
تهران ( IKA )","10:45
کپنهاگ ( CPH )","558,337,120",10 ساعت و 30 دقیقه,601
چند ایرلاین,"03:10
تهران ( IKA )","20:10
کپنهاگ ( CPH )","631,363,055",18 ساعت و 30 دقیقه,7689
